<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20100505,03:30,1169.7500000,1170.0000000,1168.7500000,1169.0000000,2847
20100505,03:35,1169.0000000,1170.5000000,1168.2500000,1170.5000000,4391
20100505,03:40,1170.5000000,1172.0000000,1170.5000000,1171.2500000,4197
20100505,03:45,1171.2500000,1171.5000000,1169.7500000,1170.2500000,3848
20100505,03:50,1170.0000000,1172.0000000,1170.0000000,1171.0000000,3731
20100505,03:55,1171.0000000,1172.0000000,1170.7500000,1171.5000000,2727
20100505,04:00,1171.7500000,1172.7500000,1171.0000000,1172.5000000,3265
20100505,04:05,1172.5000000,1172.7500000,1171.7500000,1172.0000000,2604
20100505,04:10,1172.0000000,1173.2500000,1171.7500000,1173.2500000,4520
20100505,04:15,1173.5000000,1173.5000000,1172.7500000,1173.0000000,967
20100505,04:20,1172.7500000,1173.0000000,1172.5000000,1173.0000000,3411
20100505,04:25,1173.0000000,1173.7500000,1172.7500000,1173.2500000,1819
20100505,04:30,1173.2500000,1173.7500000,1173.2500000,1173.5000000,1599
20100505,04:35,1173.5000000,1174.5000000,1173.2500000,1174.2500000,3767
20100505,04:40,1174.5000000,1174.5000000,1173.2500000,1173.5000000,2712
20100505,04:45,1173.5000000,1174.5000000,1173.2500000,1174.5000000,1941
20100505,04:50,1174.5000000,1174.7500000,1174.0000000,1174.0000000,1921
20100505,04:55,1174.0000000,1174.0000000,1173.0000000,1173.2500000,2137
20100505,05:00,1173.2500000,1174.5000000,1173.0000000,1174.2500000,2525
20100505,05:05,1174.5000000,1175.0000000,1174.2500000,1175.0000000,2878
20100505,05:10,1174.7500000,1174.7500000,1173.5000000,1173.7500000,3110
20100505,05:15,1173.7500000,1174.0000000,1173.2500000,1173.5000000,1614
20100505,05:20,1173.5000000,1174.5000000,1172.7500000,1172.7500000,3594
20100505,05:25,1172.7500000,1173.2500000,1172.2500000,1172.5000000,5117
20100505,05:30,1172.5000000,1173.2500000,1172.2500000,1172.7500000,2119
20100505,05:35,1173.0000000,1173.0000000,1171.7500000,1172.0000000,2358
20100505,05:40,1171.7500000,1172.2500000,1171.0000000,1171.7500000,4230
20100505,05:45,1171.5000000,1172.0000000,1171.2500000,1171.2500000,2098
20100505,05:50,1171.5000000,1171.7500000,1170.7500000,1171.7500000,2592
20100505,05:55,1171.7500000,1171.7500000,1171.0000000,1171.2500000,902
20100505,06:00,1171.5000000,1172.0000000,1170.7500000,1170.7500000,1221
20100505,06:05,1170.7500000,1171.0000000,1169.0000000,1169.0000000,7224
20100505,06:10,1169.0000000,1169.5000000,1168.5000000,1169.5000000,5009
20100505,06:15,1169.5000000,1169.7500000,1169.0000000,1169.7500000,4484
20100505,06:20,1169.7500000,1171.2500000,1169.5000000,1171.0000000,4071
20100505,06:25,1170.7500000,1171.0000000,1170.0000000,1170.7500000,4166
20100505,06:30,1170.7500000,1171.0000000,1170.0000000,1170.5000000,3076
20100505,06:35,1170.5000000,1170.5000000,1168.0000000,1168.0000000,5560
20100505,06:40,1168.0000000,1170.2500000,1168.0000000,1169.5000000,4957
20100505,06:45,1169.5000000,1169.5000000,1168.0000000,1169.0000000,5244
20100505,06:50,1168.7500000,1170.7500000,1168.7500000,1170.2500000,4620
20100505,06:55,1170.2500000,1170.2500000,1169.2500000,1169.5000000,5132
20100505,07:00,1169.2500000,1169.5000000,1167.5000000,1168.2500000,8020
20100505,07:05,1168.5000000,1168.5000000,1167.2500000,1168.2500000,5691
20100505,07:10,1168.0000000,1170.0000000,1168.0000000,1170.0000000,4029
20100505,07:15,1169.7500000,1170.2500000,1167.0000000,1168.0000000,11211
20100505,07:20,1168.2500000,1168.7500000,1166.5000000,1166.5000000,14608
20100505,07:25,1166.5000000,1167.5000000,1166.2500000,1166.7500000,7353
20100505,07:30,1167.0000000,1167.0000000,1164.0000000,1165.2500000,22475
20100505,07:35,1165.5000000,1165.7500000,1164.2500000,1164.7500000,8490
20100505,07:40,1164.5000000,1164.7500000,1162.7500000,1164.0000000,13933
20100505,07:45,1164.0000000,1165.2500000,1163.7500000,1164.7500000,9789
20100505,07:50,1164.7500000,1165.0000000,1164.2500000,1164.5000000,4964
20100505,07:55,1164.7500000,1164.7500000,1163.2500000,1164.0000000,6742
20100505,08:00,1164.0000000,1164.2500000,1161.2500000,1162.0000000,12117
20100505,08:05,1162.0000000,1162.0000000,1159.2500000,1160.7500000,10666
20100505,08:10,1160.7500000,1163.2500000,1160.7500000,1161.7500000,5936
20100505,08:15,1161.7500000,1162.0000000,1158.0000000,1159.5000000,9624
20100505,08:20,1159.5000000,1160.7500000,1159.0000000,1160.7500000,6683
20100505,08:25,1160.5000000,1161.0000000,1159.7500000,1160.2500000,4717
20100505,08:30,1160.0000000,1160.7500000,1159.5000000,1160.5000000,7281
20100505,08:35,1160.2500000,1161.5000000,1158.5000000,1159.5000000,6924
20100505,08:40,1159.2500000,1159.5000000,1155.0000000,1155.7500000,7688
20100505,08:45,1155.7500000,1159.7500000,1155.5000000,1159.5000000,8387
20100505,08:50,1159.2500000,1159.7500000,1157.5000000,1158.7500000,7940
20100505,08:55,1158.7500000,1160.7500000,1156.7500000,1160.2500000,9551
20100505,09:00,1160.5000000,1163.5000000,1160.5000000,1163.2500000,12202
20100505,09:05,1162.7500000,1165.2500000,1161.2500000,1164.2500000,9306
20100505,09:10,1164.2500000,1165.2500000,1162.5000000,1164.0000000,6020
20100505,09:15,1164.0000000,1164.5000000,1162.5000000,1163.7500000,11321
20100505,09:20,1163.5000000,1167.7500000,1163.5000000,1167.0000000,9117
20100505,09:25,1167.2500000,1167.7500000,1166.0000000,1166.7500000,7619
20100505,09:30,1166.7500000,1167.0000000,1163.5000000,1163.7500000,3873
20100505,09:35,1163.7500000,1164.5000000,1162.5000000,1163.5000000,9540
20100505,09:40,1163.2500000,1164.7500000,1163.0000000,1163.0000000,6330
20100505,09:45,1163.0000000,1168.0000000,1162.7500000,1167.0000000,7358
20100505,09:50,1166.7500000,1169.2500000,1166.5000000,1168.7500000,10500
20100505,09:55,1168.7500000,1169.0000000,1166.7500000,1167.2500000,8542
20100505,10:00,1167.2500000,1168.5000000,1167.0000000,1167.5000000,6379
20100505,10:05,1167.7500000,1167.7500000,1164.5000000,1165.5000000,9062
20100505,10:10,1165.7500000,1166.0000000,1163.2500000,1164.7500000,13613
20100505,10:15,1164.5000000,1166.0000000,1163.7500000,1165.7500000,6111
20100505,10:20,1166.0000000,1166.2500000,1164.7500000,1166.2500000,8914
20100505,10:25,1166.2500000,1167.5000000,1166.0000000,1167.0000000,6948
20100505,10:30,1167.2500000,1168.2500000,1166.2500000,1166.7500000,8333
20100505,10:35,1166.7500000,1167.7500000,1165.5000000,1166.0000000,6521
20100505,10:40,1166.0000000,1167.5000000,1165.5000000,1167.2500000,7135
20100505,10:45,1167.2500000,1169.0000000,1166.7500000,1168.7500000,6389
20100505,10:50,1169.0000000,1171.5000000,1168.2500000,1171.0000000,11736
20100505,10:55,1171.0000000,1171.7500000,1169.7500000,1170.2500000,6809
20100505,11:00,1170.2500000,1172.7500000,1170.0000000,1171.7500000,11202
20100505,11:05,1171.7500000,1173.0000000,1171.5000000,1172.0000000,8130
20100505,11:10,1172.0000000,1172.5000000,1170.2500000,1171.0000000,6390
20100505,11:15,1171.0000000,1171.0000000,1169.2500000,1169.7500000,6318
20100505,11:20,1169.7500000,1170.5000000,1169.2500000,1170.2500000,5989
20100505,11:25,1170.5000000,1170.7500000,1167.2500000,1168.0000000,9851
20100505,11:30,1168.2500000,1169.2500000,1167.7500000,1168.0000000,6766
20100505,11:35,1167.7500000,1169.5000000,1167.5000000,1169.0000000,4706
20100505,11:40,1169.0000000,1169.2500000,1167.2500000,1167.2500000,7833
20100505,11:45,1167.5000000,1167.5000000,1164.7500000,1165.0000000,10368
20100505,11:50,1165.0000000,1167.0000000,1164.7500000,1166.7500000,10758
20100505,11:55,1167.0000000,1168.0000000,1166.5000000,1168.0000000,7627
20100505,12:00,1168.0000000,1168.5000000,1167.2500000,1167.5000000,7106
20100505,12:05,1167.5000000,1168.2500000,1165.0000000,1166.2500000,7997
20100505,12:10,1166.5000000,1168.5000000,1166.0000000,1168.0000000,8170
20100505,12:15,1168.0000000,1168.2500000,1166.2500000,1166.2500000,6797
20100505,12:20,1166.2500000,1168.0000000,1166.0000000,1167.5000000,5351
20100505,12:25,1167.7500000,1169.7500000,1167.5000000,1169.2500000,9761
20100505,12:30,1169.5000000,1169.5000000,1167.5000000,1167.5000000,7335
20100505,12:35,1167.7500000,1168.5000000,1167.0000000,1167.2500000,4644
20100505,12:40,1167.2500000,1168.0000000,1165.5000000,1167.2500000,9383
20100505,12:45,1167.2500000,1168.0000000,1166.2500000,1166.5000000,5173
20100505,12:50,1166.7500000,1168.2500000,1166.2500000,1168.0000000,11642
20100505,12:55,1168.0000000,1168.5000000,1166.7500000,1168.5000000,4929
20100505,13:00,1168.5000000,1168.7500000,1166.5000000,1166.5000000,5688
20100505,13:05,1166.5000000,1167.0000000,1164.5000000,1164.7500000,11486
20100505,13:10,1164.7500000,1166.5000000,1164.2500000,1166.0000000,8475
20100505,13:15,1165.7500000,1166.5000000,1164.7500000,1164.7500000,6928
20100505,13:20,1165.0000000,1165.5000000,1163.5000000,1164.5000000,9385
20100505,13:25,1164.7500000,1165.5000000,1164.0000000,1164.7500000,9460
20100505,13:30,1165.0000000,1165.0000000,1163.0000000,1163.5000000,7895
20100505,13:35,1163.5000000,1163.7500000,1162.0000000,1162.5000000,10795
20100505,13:40,1162.7500000,1163.0000000,1160.7500000,1160.7500000,10093
20100505,13:45,1161.0000000,1161.7500000,1160.0000000,1160.5000000,14055
20100505,13:50,1160.2500000,1160.5000000,1158.5000000,1158.7500000,16230
20100505,13:55,1158.7500000,1159.7500000,1157.5000000,1158.2500000,12073
20100505,14:00,1158.2500000,1161.7500000,1158.2500000,1161.0000000,13089
20100505,14:05,1161.0000000,1162.0000000,1160.0000000,1161.5000000,8629
20100505,14:10,1161.5000000,1162.0000000,1159.7500000,1161.7500000,12052
20100505,14:15,1161.7500000,1162.5000000,1161.0000000,1162.2500000,8903
20100505,14:20,1162.5000000,1162.5000000,1159.7500000,1160.2500000,9846
20100505,14:25,1160.2500000,1163.2500000,1160.0000000,1163.2500000,10814
20100505,14:30,1163.2500000,1163.5000000,1161.5000000,1162.0000000,9479
20100505,14:35,1161.7500000,1162.5000000,1160.2500000,1160.7500000,6971
