<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
05/05/10,01:11:00,1171.5000000,1171.5000000,1171.5000000,1171.5000000,15
05/05/10,01:12:00,1171.5000000,1171.7500000,1171.5000000,1171.7500000,100
05/05/10,01:13:00,1171.5000000,1171.5000000,1171.0000000,1171.0000000,233
05/05/10,01:14:00,1171.0000000,1171.0000000,1170.5000000,1170.7500000,272
05/05/10,01:15:00,1171.0000000,1171.5000000,1171.0000000,1171.2500000,123
05/05/10,01:16:00,1171.5000000,1171.5000000,1171.2500000,1171.2500000,165
05/05/10,01:17:00,1171.5000000,1171.5000000,1171.2500000,1171.5000000,76
05/05/10,01:18:00,1171.5000000,1171.7500000,1171.5000000,1171.5000000,41
05/05/10,01:19:00,1171.7500000,1172.0000000,1171.7500000,1172.0000000,98
05/05/10,01:20:00,1172.0000000,1172.2500000,1172.0000000,1172.0000000,237
05/05/10,01:21:00,1172.0000000,1172.2500000,1171.7500000,1172.0000000,362
05/05/10,01:22:00,1172.0000000,1172.0000000,1171.7500000,1172.0000000,141
05/05/10,01:23:00,1172.0000000,1172.2500000,1172.0000000,1172.2500000,417
05/05/10,01:24:00,1172.5000000,1172.7500000,1172.2500000,1172.7500000,1240
05/05/10,01:25:00,1172.7500000,1173.0000000,1172.5000000,1172.7500000,299
05/05/10,01:26:00,1172.7500000,1172.7500000,1172.5000000,1172.7500000,463
05/05/10,01:27:00,1173.0000000,1173.2500000,1172.7500000,1173.2500000,677
05/05/10,01:28:00,1173.2500000,1173.2500000,1173.0000000,1173.2500000,24
05/05/10,01:29:00,1173.2500000,1173.5000000,1173.0000000,1173.2500000,760
05/05/10,01:30:00,1173.2500000,1173.2500000,1173.0000000,1173.2500000,309
05/05/10,01:31:00,1173.5000000,1173.5000000,1173.0000000,1173.2500000,355
05/05/10,01:32:00,1173.5000000,1173.7500000,1173.5000000,1173.5000000,597
05/05/10,01:33:00,1173.7500000,1173.7500000,1173.5000000,1173.5000000,304
05/05/10,01:34:00,1173.5000000,1173.7500000,1173.5000000,1173.5000000,264
05/05/10,01:35:00,1173.5000000,1173.7500000,1173.2500000,1173.5000000,1292
05/05/10,01:36:00,1173.5000000,1173.7500000,1173.5000000,1173.7500000,361
05/05/10,01:37:00,1173.5000000,1173.7500000,1173.5000000,1173.7500000,102
05/05/10,01:38:00,1173.5000000,1173.7500000,1173.5000000,1173.5000000,457
05/05/10,01:39:00,1173.5000000,1173.7500000,1173.2500000,1173.5000000,151
05/05/10,01:40:00,1173.5000000,1173.7500000,1173.5000000,1173.7500000,16
05/05/10,01:41:00,1173.5000000,1173.5000000,1173.2500000,1173.5000000,199
05/05/10,01:42:00,1173.5000000,1173.5000000,1173.5000000,1173.5000000,4
05/05/10,01:43:00,1173.7500000,1173.7500000,1173.5000000,1173.5000000,59
05/05/10,01:44:00,1173.5000000,1173.5000000,1173.5000000,1173.5000000,103
05/05/10,01:45:00,1173.5000000,1173.7500000,1173.2500000,1173.2500000,66
05/05/10,01:46:00,1173.2500000,1173.2500000,1173.2500000,1173.2500000,18
05/05/10,01:47:00,1173.2500000,1173.7500000,1172.7500000,1173.0000000,929
05/05/10,01:48:00,1172.7500000,1172.7500000,1172.5000000,1172.5000000,183
05/05/10,01:49:00,1172.5000000,1172.7500000,1172.5000000,1172.7500000,24
05/05/10,01:50:00,1172.7500000,1172.7500000,1172.7500000,1172.7500000,194
05/05/10,01:51:00,1173.0000000,1173.2500000,1172.7500000,1173.2500000,418
05/05/10,01:52:00,1173.2500000,1173.2500000,1173.0000000,1173.2500000,113
05/05/10,01:53:00,1173.2500000,1173.5000000,1173.2500000,1173.2500000,25
05/05/10,01:54:00,1173.5000000,1173.5000000,1173.0000000,1173.2500000,780
05/05/10,01:55:00,1173.0000000,1173.0000000,1172.5000000,1172.7500000,322
05/05/10,01:56:00,1172.7500000,1173.0000000,1172.7500000,1173.0000000,138
05/05/10,01:57:00,1173.0000000,1173.5000000,1173.0000000,1173.5000000,351
05/05/10,01:58:00,1173.7500000,1173.7500000,1173.5000000,1173.5000000,216
05/05/10,01:59:00,1173.7500000,1174.0000000,1173.5000000,1173.7500000,328
05/05/10,02:00:00,1173.5000000,1173.7500000,1173.2500000,1173.5000000,161
05/05/10,02:01:00,1173.2500000,1173.5000000,1173.0000000,1173.2500000,698
05/05/10,02:02:00,1173.2500000,1173.7500000,1173.2500000,1173.7500000,621
05/05/10,02:03:00,1173.7500000,1173.7500000,1173.5000000,1173.5000000,1199
05/05/10,02:04:00,1173.7500000,1173.7500000,1173.2500000,1173.2500000,906
05/05/10,02:05:00,1173.5000000,1173.5000000,1173.2500000,1173.2500000,646
05/05/10,02:06:00,1173.2500000,1174.0000000,1173.2500000,1174.0000000,951
05/05/10,02:07:00,1174.0000000,1174.5000000,1174.0000000,1174.0000000,1952
05/05/10,02:08:00,1174.0000000,1174.0000000,1173.7500000,1173.7500000,733
05/05/10,02:09:00,1173.5000000,1173.5000000,1172.2500000,1172.2500000,1622
05/05/10,02:10:00,1172.2500000,1173.0000000,1172.0000000,1172.7500000,1441
05/05/10,02:11:00,1172.5000000,1173.0000000,1172.2500000,1173.0000000,1048
05/05/10,02:12:00,1172.7500000,1173.0000000,1172.7500000,1173.0000000,766
05/05/10,02:13:00,1173.0000000,1173.2500000,1172.7500000,1172.7500000,343
05/05/10,02:14:00,1172.7500000,1173.0000000,1172.5000000,1172.7500000,1353
05/05/10,02:15:00,1172.5000000,1172.5000000,1171.7500000,1172.0000000,963
05/05/10,02:16:00,1172.0000000,1172.0000000,1170.7500000,1171.0000000,2256
05/05/10,02:17:00,1171.2500000,1171.2500000,1170.7500000,1171.0000000,1233
05/05/10,02:18:00,1171.0000000,1171.5000000,1171.0000000,1171.0000000,345
05/05/10,02:19:00,1171.2500000,1171.7500000,1170.7500000,1170.7500000,918
05/05/10,02:20:00,1170.7500000,1171.0000000,1170.2500000,1170.5000000,2118
05/05/10,02:21:00,1170.5000000,1171.0000000,1170.2500000,1170.5000000,930
05/05/10,02:22:00,1170.5000000,1171.0000000,1170.2500000,1171.0000000,906
05/05/10,02:23:00,1171.0000000,1171.7500000,1170.7500000,1170.7500000,998
05/05/10,02:24:00,1170.7500000,1171.2500000,1170.7500000,1171.2500000,1034
05/05/10,02:25:00,1171.2500000,1171.7500000,1171.2500000,1171.7500000,834
05/05/10,02:26:00,1171.7500000,1172.2500000,1171.7500000,1171.7500000,1087
05/05/10,02:27:00,1171.5000000,1172.0000000,1171.2500000,1171.2500000,993
05/05/10,02:28:00,1171.2500000,1171.2500000,1170.2500000,1170.5000000,630
05/05/10,02:29:00,1170.5000000,1171.0000000,1170.5000000,1170.7500000,743
05/05/10,02:30:00,1171.0000000,1171.2500000,1170.7500000,1170.7500000,389
05/05/10,02:31:00,1170.7500000,1170.7500000,1170.0000000,1170.0000000,1390
05/05/10,02:32:00,1170.0000000,1170.2500000,1169.7500000,1170.0000000,787
05/05/10,02:33:00,1170.0000000,1170.2500000,1169.0000000,1169.0000000,2293
05/05/10,02:34:00,1168.7500000,1169.0000000,1168.5000000,1168.5000000,2544
05/05/10,02:35:00,1168.2500000,1168.5000000,1167.5000000,1168.0000000,2596
05/05/10,02:36:00,1167.7500000,1168.0000000,1167.2500000,1167.5000000,1835
05/05/10,02:37:00,1167.5000000,1168.2500000,1167.2500000,1168.2500000,3154
05/05/10,02:38:00,1168.2500000,1168.5000000,1167.7500000,1168.5000000,829
05/05/10,02:39:00,1168.5000000,1168.7500000,1168.2500000,1168.2500000,777
05/05/10,02:40:00,1168.5000000,1168.5000000,1167.7500000,1167.7500000,1843
05/05/10,02:41:00,1167.7500000,1169.0000000,1167.7500000,1169.0000000,1026
05/05/10,02:42:00,1169.0000000,1169.7500000,1169.0000000,1169.5000000,1040
05/05/10,02:43:00,1169.5000000,1169.5000000,1169.0000000,1169.0000000,1342
05/05/10,02:44:00,1169.0000000,1169.2500000,1168.2500000,1168.2500000,2087
05/05/10,02:45:00,1168.0000000,1168.0000000,1167.5000000,1167.5000000,1462
05/05/10,02:46:00,1167.5000000,1167.7500000,1167.2500000,1167.2500000,758
05/05/10,02:47:00,1167.2500000,1168.0000000,1167.2500000,1168.0000000,833
05/05/10,02:48:00,1168.2500000,1169.0000000,1167.7500000,1168.5000000,902
05/05/10,02:49:00,1168.2500000,1168.7500000,1168.0000000,1168.5000000,868
05/05/10,02:50:00,1168.7500000,1169.0000000,1168.5000000,1168.7500000,716
05/05/10,02:51:00,1168.5000000,1169.2500000,1168.0000000,1168.7500000,1104
05/05/10,02:52:00,1169.0000000,1169.2500000,1168.7500000,1169.2500000,382
05/05/10,02:53:00,1169.2500000,1169.5000000,1168.7500000,1169.0000000,905
05/05/10,02:54:00,1169.0000000,1169.0000000,1168.7500000,1168.7500000,315
05/05/10,02:55:00,1168.7500000,1169.0000000,1168.5000000,1168.5000000,393
05/05/10,02:56:00,1168.5000000,1168.5000000,1167.7500000,1167.7500000,1225
05/05/10,02:57:00,1168.0000000,1168.5000000,1167.5000000,1167.7500000,645
05/05/10,02:58:00,1167.7500000,1168.0000000,1167.5000000,1167.5000000,317
05/05/10,02:59:00,1167.5000000,1167.7500000,1166.5000000,1166.5000000,4080
05/05/10,03:00:00,1166.5000000,1167.2500000,1166.5000000,1167.2500000,1260
05/05/10,03:01:00,1167.5000000,1167.5000000,1166.7500000,1167.0000000,960
05/05/10,03:02:00,1166.7500000,1168.2500000,1166.7500000,1168.0000000,1297
05/05/10,03:03:00,1168.0000000,1168.0000000,1167.5000000,1168.0000000,487
05/05/10,03:04:00,1168.0000000,1168.5000000,1167.0000000,1168.5000000,1393
05/05/10,03:05:00,1168.5000000,1168.5000000,1168.0000000,1168.0000000,1451
05/05/10,03:06:00,1168.0000000,1168.7500000,1167.7500000,1168.5000000,749
05/05/10,03:07:00,1168.7500000,1168.7500000,1168.2500000,1168.5000000,303
05/05/10,03:08:00,1168.5000000,1168.7500000,1167.7500000,1168.5000000,799
05/05/10,03:09:00,1168.5000000,1169.2500000,1168.5000000,1169.2500000,719
05/05/10,03:10:00,1169.2500000,1169.2500000,1169.0000000,1169.0000000,605
05/05/10,03:11:00,1169.2500000,1169.5000000,1169.0000000,1169.2500000,826
